param_id,atr_len,st_mult,swing_len,fib,entry_mode,side,regime_mode,sl_base,tp_base,atr_regime_lookback,atr_regime_pct,atr_high_mult,atr_low_mult,max_hold_bars,is_trades,is_pnl,is_gross_gain,is_gross_loss,is_pf,is_max_dd,is_expect,is_win_rate,is_avg_hold,oos_trades,oos_pnl,oos_gross_gain,oos_gross_loss,oos_pf,oos_max_dd,oos_expect,oos_win_rate,oos_avg_hold
R0223,10,2.0,24,0.382,pullback,short,fixed_sl_atr_tp,8.0,20.0,96,0.7,1.25,1.0,24,80.0,-5529.000000000006,17424.000000000007,22952.999999999975,0.7591164553653129,7071.400000000006,-69.11250000000008,0.25,8.8375,23.0,-799.8999999999999,5660.9,6460.800000000002,0.8761918028727089,3364.6000000000004,-34.77826086956521,0.30434782608695654,13.304347826086957
R0514,14,2.0,24,0.382,pullback,short,atr_sl_fixed_tp,8.0,24.0,96,0.7,1.5,1.0,24,75.0,-5910.000000000004,18595.200000000008,24505.19999999998,0.7588266980069546,7149.800000000001,-78.80000000000005,0.28,10.32,22.0,-2871.0999999999995,4564.7,7435.800000000002,0.6138814922402429,5185.799999999999,-130.50454545454542,0.2727272727272727,14
R0165,10,2.0,12,0.382,pullback,short,atr_sl_fixed_tp,10.0,24.0,96,0.7,1.25,1.0,24,73.0,-5989.900000000005,18808.80000000001,24798.69999999998,0.758459112776074,7568.800000000005,-82.05342465753432,0.3287671232876712,11.32876712328767,21.0,-792.3000000000002,6635.9,7428.200000000002,0.8933388977141162,4407.0,-37.728571428571435,0.3333333333333333,14.619047619047619
R0537,14,2.0,24,0.382,pullback,short,atr_sl_fixed_tp,12.0,24.0,96,0.7,1.25,1.0,24,71.0,-6557.300000000005,20546.30000000001,27103.599999999977,0.7580653492524988,8004.7000000000035,-92.35633802816908,0.3380281690140845,12.338028169014084,21.0,-2917.3,5760.9,8678.2,0.6638358184877047,6682.0,-138.91904761904763,0.3333333333333333,16.333333333333332
R0161,10,2.0,12,0.382,pullback,short,atr_sl_fixed_tp,10.0,20.0,96,0.7,1.25,1.0,24,74.0,-6043.700000000004,18880.00000000001,24923.69999999998,0.7575119263993719,8312.800000000005,-81.67162162162168,0.33783783783783783,10.932432432432432,21.0,-1592.3000000000004,5835.9,7428.200000000002,0.7856412051371797,4807.0,-75.82380952380954,0.3333333333333333,14.476190476190476
R0112,10,1.5,24,0.5,pullback,short,fixed_sl_atr_tp,8.0,16.0,96,0.7,1.5,1.0,24,69.0,-4649.700000000006,14440.300000000007,19089.99999999998,0.7564326872708235,6140.500000000005,-67.38695652173922,0.2753623188405797,8.18840579710145,18.0,-3480.9000000000005,2388.6000000000004,5869.500000000002,0.4069511883465371,3873.3000000000006,-193.38333333333335,0.16666666666666666,8.777777777777779
R0257,10,2.0,24,0.5,pullback,short,atr_sl_fixed_tp,8.0,20.0,96,0.7,1.25,1.0,24,72.0,-5311.100000000004,16462.60000000001,21773.699999999983,0.7560772858999629,5931.300000000005,-73.76527777777784,0.3194444444444444,9.625,14.0,-5728.200000000002,0,5728.200000000002,0.0,5728.200000000002,-409.15714285714296,0.0,10.071428571428571
R0113,10,1.5,24,0.5,pullback,short,atr_sl_fixed_tp,8.0,20.0,96,0.7,1.25,1.0,24,67.0,-4879.600000000004,15095.200000000008,19974.799999999985,0.7557121973686856,6178.000000000004,-72.82985074626872,0.31343283582089554,9.447761194029852,18.0,-3505.900000000001,2763.6000000000004,6269.500000000002,0.44080070181035164,3773.300000000001,-194.77222222222227,0.16666666666666666,10.88888888888889
R0307,14,1.5,12,0.382,pullback,short,fixed_sl_atr_tp,10.0,20.0,96,0.7,1.25,1.0,24,82.0,-6286.600000000006,19422.400000000012,25708.999999999975,0.7554708467851737,8934.500000000005,-76.66585365853666,0.32926829268292684,10.085365853658537,23.0,625.0999999999988,6865.799999999999,6240.700000000002,1.1001650455878342,2964.6000000000013,27.178260869565165,0.391304347826087,15.391304347826088
R0517,14,2.0,24,0.382,pullback,short,atr_sl_fixed_tp,10.0,16.0,96,0.7,1.25,1.0,24,77.0,-6142.600000000006,18922.40000000001,25064.999999999978,0.7549331737482555,7584.600000000003,-79.77402597402605,0.35064935064935066,9.623376623376624,21.0,-4.7999999999999545,6190.799999999999,6195.600000000001,0.9992252566337397,3345.6,-0.2285714285714264,0.42857142857142855,14.238095238095237
