param_id,mom_lookback_bars,mom_threshold,rev_span,rev_threshold,sl_atr,tp_atr,max_hold_bars,confirm_turn,mean_exit,session_set,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
M200R5_1342,40,0.7,20,0.8,1.5,1.5,12,True,True,PRE_RTH,3,5,362.3,123.98,3.9222,0.6,72.46,486.28,-123.98,4,104.54,123.98,1.8432,0.5,26.135,228.52,-123.98,1,257.76,0.0,999.0,1.0,257.76,257.76,0.0,False
M200R5_0961,40,0.7,12,1.1,1.0,0.75,6,False,False,ALL,1,34,836.34,98.96,3.2965,0.7941,24.598,1200.52,-364.18,25,707.0,67.72,4.3635,0.8,28.28,917.2,-210.2,9,129.34,98.96,1.84,0.7778,14.371,283.32,-153.98,True
M200R5_0967,40,0.7,12,1.1,1.0,0.75,6,False,True,ALL,1,34,836.34,98.96,3.2965,0.7941,24.598,1200.52,-364.18,25,707.0,67.72,4.3635,0.8,28.28,917.2,-210.2,9,129.34,98.96,1.84,0.7778,14.371,283.32,-153.98,True
M200R5_0985,40,0.7,12,1.1,1.0,0.75,12,False,False,ALL,1,34,836.34,98.96,3.2965,0.7941,24.598,1200.52,-364.18,25,707.0,67.72,4.3635,0.8,28.28,917.2,-210.2,9,129.34,98.96,1.84,0.7778,14.371,283.32,-153.98,True
M200R5_0991,40,0.7,12,1.1,1.0,0.75,12,False,True,ALL,1,34,836.34,98.96,3.2965,0.7941,24.598,1200.52,-364.18,25,707.0,67.72,4.3635,0.8,28.28,917.2,-210.2,9,129.34,98.96,1.84,0.7778,14.371,283.32,-153.98,True
M200R5_1157,40,0.7,20,0.8,1.0,0.75,6,False,False,RTH,1,13,332.88,150.24,2.5325,0.7692,25.606,550.1,-217.22,11,181.86,150.24,1.8372,0.7273,16.533,399.08,-217.22,2,151.02,0.0,999.0,1.0,75.51,151.02,0.0,False
M200R5_1163,40,0.7,20,0.8,1.0,0.75,6,False,True,RTH,1,13,332.88,150.24,2.5325,0.7692,25.606,550.1,-217.22,11,181.86,150.24,1.8372,0.7273,16.533,399.08,-217.22,2,151.02,0.0,999.0,1.0,75.51,151.02,0.0,False
M200R5_1299,40,0.7,20,0.8,1.5,1.5,6,False,False,PRE_RTH,1,16,630.16,150.24,2.6088,0.6875,39.385,1021.86,-391.7,14,325.64,150.24,1.8314,0.6429,23.26,717.34,-391.7,2,304.52,0.0,999.0,1.0,152.26,304.52,0.0,False
M200R5_1300,40,0.7,20,0.8,1.5,1.5,6,False,False,PRE_RTH,3,16,630.16,150.24,2.6088,0.6875,39.385,1021.86,-391.7,14,325.64,150.24,1.8314,0.6429,23.26,717.34,-391.7,2,304.52,0.0,999.0,1.0,152.26,304.52,0.0,False
M200R5_0321,40,0.4,12,1.1,1.5,1.25,12,False,True,PRE_RTH,1,23,603.48,227.74,1.9207,0.7391,26.238,1258.92,-655.44,20,482.2,227.74,1.8311,0.75,24.11,1062.4,-580.2,3,121.28,75.24,2.6119,0.6667,40.427,196.52,-75.24,False
M200R5_1039,40,0.7,12,1.1,1.25,1.0,12,False,True,ALL,1,34,631.84,213.34,1.8642,0.6765,18.584,1362.98,-731.14,25,442.0,213.34,1.8198,0.64,17.68,981.16,-539.16,9,189.84,117.46,1.9889,0.7778,21.093,381.82,-191.98,True
M200R5_1148,40,0.7,12,1.1,1.5,1.5,12,True,True,ALL,3,12,452.62,153.2,2.3383,0.5833,37.718,790.82,-338.2,7,181.82,153.2,1.8192,0.4286,25.974,403.78,-221.96,5,270.8,116.24,3.3297,0.8,54.16,387.04,-116.24,False
M200R5_1419,40,0.7,20,1.1,1.25,1.0,12,False,False,PRE_RTH,1,10,409.6,193.98,2.377,0.6,40.96,707.06,-297.46,9,238.34,193.98,1.8013,0.5556,26.482,535.8,-297.46,1,171.26,0.0,999.0,1.0,171.26,171.26,0.0,False
M200R5_1420,40,0.7,20,1.1,1.25,1.0,12,False,False,PRE_RTH,3,10,409.6,193.98,2.377,0.6,40.96,707.06,-297.46,9,238.34,193.98,1.8013,0.5556,26.482,535.8,-297.46,1,171.26,0.0,999.0,1.0,171.26,171.26,0.0,False
M200R5_1425,40,0.7,20,1.1,1.25,1.0,12,False,True,PRE_RTH,1,10,409.6,193.98,2.377,0.6,40.96,707.06,-297.46,9,238.34,193.98,1.8013,0.5556,26.482,535.8,-297.46,1,171.26,0.0,999.0,1.0,171.26,171.26,0.0,False
M200R5_1426,40,0.7,20,1.1,1.25,1.0,12,False,True,PRE_RTH,3,10,409.6,193.98,2.377,0.6,40.96,707.06,-297.46,9,238.34,193.98,1.8013,0.5556,26.482,535.8,-297.46,1,171.26,0.0,999.0,1.0,171.26,171.26,0.0,False
M200R5_0348,40,0.4,12,1.1,1.5,1.5,6,False,True,RTH,3,22,693.72,434.98,2.1021,0.7273,31.533,1323.16,-629.44,20,498.2,434.98,1.7915,0.7,24.91,1127.64,-629.44,2,195.52,0.0,999.0,1.0,97.76,195.52,0.0,False
M200R5_1142,40,0.7,12,1.1,1.5,1.5,12,True,False,ALL,3,12,584.12,157.7,2.7045,0.5833,48.677,926.82,-342.7,7,177.32,157.7,1.783,0.4286,25.331,403.78,-226.46,5,406.8,116.24,4.4997,0.8,81.36,523.04,-116.24,False
M200R5_1133,40,0.7,12,1.1,1.5,1.5,12,False,False,RTH,1,13,637.38,227.74,2.4989,0.7692,49.029,1062.6,-425.22,11,332.86,227.74,1.7828,0.7273,30.26,758.08,-425.22,2,304.52,0.0,999.0,1.0,152.26,304.52,0.0,False
M200R5_1134,40,0.7,12,1.1,1.5,1.5,12,False,False,RTH,3,13,637.38,227.74,2.4989,0.7692,49.029,1062.6,-425.22,11,332.86,227.74,1.7828,0.7273,30.26,758.08,-425.22,2,304.52,0.0,999.0,1.0,152.26,304.52,0.0,False
M200R5_0370,40,0.4,12,1.1,1.5,1.5,12,False,True,PRE_RTH,3,27,714.52,258.2,1.8512,0.7037,26.464,1553.94,-839.42,24,594.24,258.2,1.7776,0.7083,24.76,1358.42,-764.18,3,120.28,75.24,2.5986,0.6667,40.093,195.52,-75.24,False
M200R5_0316,40,0.4,12,1.1,1.5,1.25,12,False,False,PRE_RTH,3,27,790.02,227.74,1.9411,0.7037,29.26,1629.44,-839.42,24,589.74,227.74,1.7717,0.7083,24.573,1353.92,-764.18,3,200.28,75.24,3.6619,0.6667,66.76,275.52,-75.24,False
M200R5_1393,40,0.7,20,1.1,1.25,1.0,6,False,False,ALL,1,26,575.26,119.42,2.12,0.5769,22.125,1088.9,-513.64,20,308.2,119.42,1.7688,0.5,15.41,709.1,-400.9,6,267.06,112.74,3.3688,0.8333,44.51,379.8,-112.74,False
M200R5_1399,40,0.7,20,1.1,1.25,1.0,6,False,True,ALL,1,26,575.26,119.42,2.12,0.5769,22.125,1088.9,-513.64,20,308.2,119.42,1.7688,0.5,15.41,709.1,-400.9,6,267.06,112.74,3.3688,0.8333,44.51,379.8,-112.74,False
M200R5_0748,40,0.4,20,1.1,1.5,1.5,12,False,False,PRE_RTH,3,20,817.7,227.74,2.1168,0.65,40.885,1549.88,-732.18,19,546.94,227.74,1.747,0.6316,28.786,1279.12,-732.18,1,270.76,0.0,999.0,1.0,270.76,270.76,0.0,False
M200R5_0342,40,0.4,12,1.1,1.5,1.5,6,False,False,RTH,3,22,797.72,434.98,2.2673,0.7273,36.26,1427.16,-629.44,20,466.7,434.98,1.7415,0.7,23.335,1096.14,-629.44,2,331.02,0.0,999.0,1.0,165.51,331.02,0.0,False
M200R5_1305,40,0.7,20,0.8,1.5,1.5,6,False,True,PRE_RTH,1,16,593.16,150.24,2.5143,0.6875,37.072,984.86,-391.7,14,288.64,150.24,1.7369,0.6429,20.617,680.34,-391.7,2,304.52,0.0,999.0,1.0,152.26,304.52,0.0,False
M200R5_1306,40,0.7,20,0.8,1.5,1.5,6,False,True,PRE_RTH,3,16,593.16,150.24,2.5143,0.6875,37.072,984.86,-391.7,14,288.64,150.24,1.7369,0.6429,20.617,680.34,-391.7,2,304.52,0.0,999.0,1.0,152.26,304.52,0.0,False
M200R5_0580,40,0.4,20,1.1,1.0,0.75,6,False,False,PRE_RTH,3,23,537.98,210.74,1.9681,0.6957,23.39,1093.66,-555.68,22,403.22,210.74,1.7256,0.6818,18.328,958.9,-555.68,1,134.76,0.0,999.0,1.0,134.76,134.76,0.0,False
