param_id,atr_len,st_mult,swing_len,fib,entry_mode,side,regime_mode,sl_base,tp_base,atr_regime_lookback,atr_regime_pct,atr_high_mult,atr_low_mult,max_hold_bars,is_trades,is_pnl,is_gross_gain,is_gross_loss,is_pf,is_max_dd,is_expect,is_win_rate,is_avg_hold,oos_trades,oos_pnl,oos_gross_gain,oos_gross_loss,oos_pf,oos_max_dd,oos_expect,oos_win_rate,oos_avg_hold
R0021,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,10.0,24.0,96,0.7,1.25,1.0,24,428.0,18473.64882812515,268826.03906250064,250352.3902343745,1.0737905829891679,19659.76093749979,43.16273090683447,0.4205607476635514,14.19392523364486,207.0,-32936.62441406239,107395.38046874997,140332.00488281262,0.7652949913915423,39367.643945312455,-159.11412760416613,0.32367149758454106,12.169082125603865
R0022,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,10.0,24.0,96,0.7,1.5,1.0,24,410.0,6542.04882812512,251803.61953125065,245261.57070312466,1.0266737622586817,23350.326953124724,15.956216653963708,0.43414634146341463,15.134146341463415,202.0,-40947.653710937506,105869.15117187488,146816.80488281255,0.7210969565532938,44001.8634765625,-202.71115698483914,0.32673267326732675,12.46039603960396
R0023,10,1.5,12,0.382,pullback,both,fixed_sl_atr_tp,10.0,24.0,96,0.7,1.25,1.0,24,439.0,23821.85859375027,267908.85859375045,244086.99999999927,1.0975957695155878,23481.609765624704,54.26391479214184,0.39635535307517084,13.799544419134396,216.0,-41550.89277343763,101058.11210937497,142609.0048828128,0.7086376641672679,46168.102539062515,-192.3652443214705,0.2824074074074074,11.412037037037036
R0024,10,1.5,12,0.382,pullback,both,fixed_sl_atr_tp,10.0,24.0,96,0.7,1.5,1.0,24,436.0,23743.287890625277,266146.4683593755,242403.18046874937,1.0979495724631678,24211.59999999967,54.45708231794789,0.3944954128440367,14.036697247706423,213.0,-44279.51230468771,96321.8925781249,140601.4048828128,0.6850706268433547,47166.71230468752,-207.8850342943085,0.28169014084507044,11.741784037558686
R0025,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,12.0,16.0,96,0.7,1.25,1.0,24,439.0,3481.6046874998074,262350.53164062585,258868.92695312455,1.0134492954735033,21922.248828125026,7.930762386104345,0.48519362186788156,13.548974943052391,200.0,-58949.97070312508,90676.40000000005,149626.37070312502,0.606018842627092,59582.42929687515,-294.7498535156254,0.36,12.325
R0026,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,12.0,16.0,96,0.7,1.5,1.0,24,429.0,9929.633984374925,267179.1218750009,257249.48789062462,1.0385992371288921,27522.09765625009,23.145999963577914,0.5034965034965035,14.06060606060606,199.0,-71046.17558593766,90676.40000000005,161722.57558593748,0.5606910455851334,71046.17558593766,-357.0159577182797,0.36180904522613067,12.492462311557789
R0027,10,1.5,12,0.382,pullback,both,fixed_sl_atr_tp,12.0,16.0,96,0.7,1.25,1.0,24,438.0,-884.5269531253036,256637.59023437553,257522.11718749945,0.9965652388898314,30997.858593750112,-2.0194679295098257,0.4520547945205479,13.502283105022832,204.0,-50795.18046874981,93133.9804687501,143929.1609375001,0.6470820774755484,55023.83906249988,-248.99598268995004,0.3431372549019608,12.127450980392156
R0028,10,1.5,12,0.382,pullback,both,fixed_sl_atr_tp,12.0,16.0,96,0.7,1.5,1.0,24,435.0,6306.882812499655,264182.79023437557,257875.90742187446,1.024457045543938,26616.46835937508,14.498581178160126,0.4459770114942529,13.73793103448276,203.0,-52231.36582031228,93881.60976562514,146112.9755859376,0.6425275331581203,56025.22441406235,-257.2973685729669,0.33497536945812806,12.211822660098521
R0029,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,12.0,20.0,96,0.7,1.25,1.0,24,410.0,-6988.097656250192,246609.3414062505,253597.43906249953,0.9724441316044725,24046.575781250136,-17.04414062500047,0.4560975609756098,14.975609756097562,197.0,-59088.60976562508,95329.15117187501,154417.7609375,0.617345767696108,61321.03906250017,-299.94218155139635,0.3350253807106599,12.690355329949238
R0030,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,12.0,20.0,96,0.7,1.5,1.0,24,400.0,-4660.058593750046,248685.52187500047,253345.58046874948,0.9816059211093132,30602.795312500075,-11.650146484375115,0.47,15.485,196.0,-67384.81464843772,97325.35117187501,164710.16582031245,0.5908885507288623,68721.04394531282,-343.8000747369272,0.34183673469387754,12.83673469387755
R0031,10,1.5,12,0.382,pullback,both,fixed_sl_atr_tp,12.0,20.0,96,0.7,1.25,1.0,24,421.0,2150.121874999863,257762.18046875045,255612.05859374942,1.0084116605720008,21318.40976562498,5.107177850355969,0.42992874109263657,14.441805225653207,203.0,-50191.39999999969,98519.17070312517,148710.57070312498,0.662489359278983,56673.84882812479,-247.24827586206743,0.3251231527093596,12.408866995073891
R0032,10,1.5,12,0.382,pullback,both,fixed_sl_atr_tp,12.0,20.0,96,0.7,1.5,1.0,24,416.0,11079.092578124724,261732.17070312513,250653.07812499942,1.0442009037391538,19614.609765624962,26.63243408203059,0.43509615384615385,14.807692307692308,203.0,-46751.39999999976,101959.17070312508,148710.57070312498,0.6856215413675535,53673.84882812483,-230.302463054186,0.3251231527093596,12.52216748768473
R0033,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,12.0,24.0,96,0.7,1.25,1.0,24,398.0,-4572.409765625105,246847.4292968755,251419.83906249958,0.9818136477110406,27761.34648437499,-11.488466747801771,0.44472361809045224,15.728643216080402,192.0,-49509.60488281261,100052.95605468743,149562.56093750012,0.6689705995105153,53367.23417968764,-257.86252543131565,0.3385416666666667,13.34375
R0034,10,1.5,12,0.382,pullback,both,atr_sl_fixed_tp,12.0,24.0,96,0.7,1.5,1.0,24,388.0,-184.42929687496263,250069.76093750045,250254.19023437455,0.9992630321326433,34917.566015624936,-0.4753332393684604,0.46134020618556704,16.288659793814432,190.0,-57132.01953125021,102422.94628906244,159554.9658203126,0.6419289162357315,60843.44882812524,-300.694839638159,0.34210526315789475,13.521052631578947
R0035,10,1.5,12,0.382,pullback,both,fixed_sl_atr_tp,12.0,24.0,96,0.7,1.25,1.0,24,407.0,22303.399999999823,265337.4488281252,243034.04882812448,1.0917706803122629,18814.60976562495,54.799508599508165,0.4348894348894349,15.277641277641278,199.0,-40016.18535156241,104139.1853515625,144155.3707031251,0.7224093340651712,48698.63417968742,-201.08635855056488,0.3316582914572864,13.040201005025125
R0036,10,1.5,12,0.382,pullback,both,fixed_sl_atr_tp,12.0,24.0,96,0.7,1.5,1.0,24,404.0,16164.887890624741,260336.5171875001,244171.62929687457,1.0662029734460736,20464.99023437501,40.01209873917015,0.42574257425742573,15.542079207920793,197.0,-37458.604882812426,104289.1658203125,141747.77070312513,0.7357376084505378,45701.04394531242,-190.14520245082448,0.3350253807106599,13.314720812182742
