param_id,atr_len,st_mult,swing_len,fib,entry_mode,side,regime_mode,sl_base,tp_base,atr_regime_lookback,atr_regime_pct,atr_high_mult,atr_low_mult,max_hold_bars,is_trades,is_pnl,is_gross_gain,is_gross_loss,is_pf,is_max_dd,is_expect,is_win_rate,is_avg_hold,oos_trades,oos_pnl,oos_gross_gain,oos_gross_loss,oos_pf,oos_max_dd,oos_expect,oos_win_rate,oos_avg_hold
R0278,10,2.0,24,0.5,pullback,short,atr_sl_fixed_tp,12.0,16.0,96,0.7,1.5,1.0,24,189.0,7731.594921875928,122522.72187500045,114791.12695312478,1.0673535936713374,18229.809765624963,40.90790963955517,0.4973544973544973,14.153439153439153,96.0,-24514.765820312252,49588.048828125175,74102.81464843752,0.6691790192232698,40621.375585937334,-255.36214396158596,0.4166666666666667,11.34375
R0279,10,2.0,24,0.5,pullback,short,fixed_sl_atr_tp,12.0,16.0,96,0.7,1.25,1.0,24,192.0,8660.253515625958,120905.50234375059,112245.24882812488,1.0771547446866698,16476.409765624943,45.105487060551866,0.4583333333333333,13.552083333333334,96.0,-17824.746289062223,47815.668359375224,65640.41464843754,0.7284486031276678,32555.175585937355,-185.67444051106483,0.3958333333333333,11.208333333333334
R0280,10,2.0,24,0.5,pullback,short,fixed_sl_atr_tp,12.0,16.0,96,0.7,1.5,1.0,24,191.0,11784.053515626036,122825.50234375069,111041.44882812488,1.1061230165851468,16076.409765624947,61.69661526505778,0.4607329842931937,14.041884816753926,96.0,-19174.756054687186,46465.65859375027,65640.41464843754,0.7078818566673437,33755.1658203123,-199.73704223632487,0.3958333333333333,11.395833333333334
R0281,10,2.0,24,0.5,pullback,short,atr_sl_fixed_tp,12.0,20.0,96,0.7,1.25,1.0,24,188.0,8625.482812500955,124255.51210937576,115630.02929687504,1.074595525616924,18701.229296874924,45.88022772606891,0.46808510638297873,14.712765957446809,94.0,-17587.224414062133,51045.590234375304,68632.81464843753,0.7437490433089413,35161.395117187305,-187.09813206449078,0.40425531914893614,12.404255319148936
R0282,10,2.0,24,0.5,pullback,short,atr_sl_fixed_tp,12.0,20.0,96,0.7,1.5,1.0,24,184.0,11400.575390626125,124747.87304687581,113347.29765624992,1.1005809192310927,20436.419531249943,61.959648862098504,0.4891304347826087,15.353260869565217,91.0,-14445.824414062121,53041.7902343753,67487.6146484375,0.7859485108591453,31119.995117187296,-158.7453232314519,0.42857142857142855,12.89010989010989
R0283,10,2.0,24,0.5,pullback,short,fixed_sl_atr_tp,12.0,20.0,96,0.7,1.25,1.0,24,189.0,12071.624218750996,123226.8437500008,111155.21953125003,1.1086015058011467,17879.22929687489,63.871027612439136,0.4497354497354497,14.71957671957672,95.0,-17541.034179687053,48099.380468750394,65640.41464843754,0.7327708200255149,32965.185351562264,-184.6424650493374,0.3894736842105263,12.189473684210526
R0284,10,2.0,24,0.5,pullback,short,fixed_sl_atr_tp,12.0,20.0,96,0.7,1.5,1.0,24,189.0,5031.604687501121,118594.42421875092,113562.81953125003,1.0443067960822892,19214.24882812486,26.622247023815454,0.43915343915343913,15.174603174603174,95.0,-15541.034179687047,50099.38046875039,65640.41464843754,0.7632398536340282,32465.185351562257,-163.58983347038998,0.3894736842105263,12.210526315789474
R0285,10,2.0,24,0.5,pullback,short,atr_sl_fixed_tp,12.0,24.0,96,0.7,1.25,1.0,24,184.0,17540.653515626178,128799.28281250095,111258.629296875,1.1576565667443346,18301.229296874924,95.3296386718814,0.47282608695652173,15.706521739130435,93.0,-22503.409765624587,47333.20488281286,69836.61464843753,0.67777060960202,37131.38046874976,-241.97214801746867,0.3870967741935484,13.268817204301076
R0286,10,2.0,24,0.5,pullback,short,atr_sl_fixed_tp,12.0,24.0,96,0.7,1.5,1.0,24,180.0,20915.74609375134,129291.643750001,108375.89765624987,1.1929925984105096,19801.229296874924,116.19858940972966,0.49444444444444446,16.322222222222223,89.0,-17878.219531249524,49009.395117187916,66887.6146484375,0.7327125563496646,31606.190234374695,-200.87887113763512,0.4157303370786517,14.03370786516854
R0287,10,2.0,24,0.5,pullback,short,fixed_sl_atr_tp,12.0,24.0,96,0.7,1.25,1.0,24,186.0,10222.975390626227,121218.19492187603,110995.21953124998,1.0921028440125553,18310.487890624812,54.9622332829367,0.44086021505376344,15.704301075268818,94.0,-19507.209765624546,47337.00488281291,66844.21464843754,0.7081690634227444,33235.180468749764,-207.52350814494199,0.3723404255319149,12.872340425531915
