param_id,atr_len,st_mult,swing_len,fib,entry_mode,side,regime_mode,sl_base,tp_base,atr_regime_lookback,atr_regime_pct,atr_high_mult,atr_low_mult,max_hold_bars,is_trades,is_pnl,is_gross_gain,is_gross_loss,is_pf,is_max_dd,is_expect,is_win_rate,is_avg_hold,oos_trades,oos_pnl,oos_gross_gain,oos_gross_loss,oos_pf,oos_max_dd,oos_expect,oos_win_rate,oos_avg_hold
R0031,10,1.5,12,0.382,pullback,short,fixed_sl_atr_tp,12.0,20.0,96,0.7,1.25,1.0,24,562.0,-2286.8799999999956,7430.520000000028,9717.399999999934,0.7646613291621296,2543.1199999999985,-4.069181494661914,0.31494661921708184,1.902135231316726,267.0,-1533.0800000000022,3213.280000000006,4746.359999999977,0.676998794865965,1644.760000000002,-5.741872659176038,0.29213483146067415,1.449438202247191
R0032,10,1.5,12,0.382,pullback,short,fixed_sl_atr_tp,12.0,20.0,96,0.7,1.5,1.0,24,561.0,-2279.6399999999953,7589.200000000027,9868.839999999933,0.7690062864531271,2565.8799999999983,-4.063529411764698,0.30303030303030304,1.9964349376114081,265.0,-1544.6000000000022,3227.000000000006,4771.599999999977,0.6762930673149513,1686.280000000002,-5.828679245283027,0.2830188679245283,1.5018867924528303
R0033,10,1.5,12,0.382,pullback,short,atr_sl_fixed_tp,12.0,24.0,96,0.7,1.25,1.0,24,551.0,-2096.240000000001,8204.760000000028,10300.999999999935,0.7965013105523813,2320.9600000000028,-3.8044283121597116,0.3194192377495463,2.1107078039927405,263.0,-1466.1200000000022,3553.760000000007,5019.8799999999765,0.7079372415276907,1665.800000000002,-5.574600760456282,0.2889733840304182,1.5551330798479088
R0034,10,1.5,12,0.382,pullback,short,atr_sl_fixed_tp,12.0,24.0,96,0.7,1.5,1.0,24,544.0,-2039.5600000000024,8578.84000000003,10618.399999999936,0.8079220974911551,2497.520000000002,-3.7491911764705925,0.3382352941176471,2.193014705882353,261.0,-1295.6400000000021,3787.560000000008,5083.199999999976,0.7451133144475972,1555.2000000000016,-4.964137931034491,0.3103448275862069,1.6206896551724137
R0035,10,1.5,12,0.382,pullback,short,fixed_sl_atr_tp,12.0,24.0,96,0.7,1.25,1.0,24,553.0,-1990.7200000000032,7963.080000000025,9953.799999999932,0.8000040185657818,2263.4400000000032,-3.599855334538885,0.2857142857142857,2.1573236889692584,262.0,-1428.880000000002,3418.440000000006,4847.319999999976,0.7052226797488144,1635.800000000002,-5.453740458015274,0.2633587786259542,1.5877862595419847
R0036,10,1.5,12,0.382,pullback,short,fixed_sl_atr_tp,12.0,24.0,96,0.7,1.5,1.0,24,549.0,-2057.7600000000016,7997.000000000025,10054.759999999931,0.7953446924640747,2366.4800000000023,-3.748196721311478,0.273224043715847,2.216757741347905,262.0,-1332.880000000002,3539.680000000006,4872.559999999976,0.7264518035693811,1575.800000000002,-5.087328244274817,0.2595419847328244,1.599236641221374
R0037,10,1.5,12,0.5,pullback,short,atr_sl_fixed_tp,8.0,16.0,96,0.7,1.25,1.0,24,503.0,-2139.7199999999993,4583.240000000017,6722.959999999946,0.681729476302113,2195.8800000000015,-4.253916500994034,0.2962226640159046,1.4314115308151094,225.0,-1475.0000000000016,1661.0399999999997,3136.0399999999877,0.5296616114590396,1488.5200000000016,-6.5555555555555625,0.24,1.1777777777777778
R0038,10,1.5,12,0.5,pullback,short,atr_sl_fixed_tp,8.0,16.0,96,0.7,1.5,1.0,24,501.0,-2213.239999999998,4860.080000000019,7073.319999999947,0.6871002584359333,2265.4,-4.417644710578839,0.3153692614770459,1.471057884231537,225.0,-1551.0000000000018,1722.5599999999997,3273.559999999987,0.5262038881218021,1564.5200000000018,-6.8933333333333415,0.24888888888888888,1.1866666666666668
R0039,10,1.5,12,0.5,pullback,short,fixed_sl_atr_tp,8.0,16.0,96,0.7,1.25,1.0,24,504.0,-1832.9600000000041,4528.600000000016,6361.559999999947,0.711869415677924,1883.320000000004,-3.636825396825405,0.26785714285714285,1.4146825396825398,224.0,-1517.7600000000018,1516.4799999999998,3034.2399999999884,0.49978907403501555,1539.2800000000018,-6.775714285714294,0.21428571428571427,1.1830357142857142
R0040,10,1.5,12,0.5,pullback,short,fixed_sl_atr_tp,8.0,16.0,96,0.7,1.5,1.0,24,503.0,-1759.7200000000041,4670.800000000016,6430.519999999946,0.726348724519954,1810.080000000004,-3.4984493041749585,0.2584493041749503,1.4691848906560636,224.0,-1477.7600000000018,1556.4799999999998,3034.2399999999884,0.5129719468466587,1507.2800000000018,-6.597142857142865,0.21428571428571427,1.1830357142857142
R0041,10,1.5,12,0.5,pullback,short,atr_sl_fixed_tp,8.0,20.0,96,0.7,1.25,1.0,24,495.0,-1433.8000000000038,5348.880000000018,6782.679999999946,0.788608632575923,1564.3200000000038,-2.8965656565656643,0.2787878787878788,1.5818181818181818,223.0,-1292.5200000000018,1899.2399999999998,3191.759999999987,0.5950447402060329,1340.6800000000019,-5.796053811659201,0.21973094170403587,1.242152466367713
R0042,10,1.5,12,0.5,pullback,short,atr_sl_fixed_tp,8.0,20.0,96,0.7,1.5,1.0,24,492.0,-1546.0800000000038,5620.20000000002,7166.279999999946,0.784256266849755,1656.6000000000038,-3.1424390243902516,0.29471544715447157,1.6300813008130082,223.0,-1356.5200000000018,1976.7599999999998,3333.279999999986,0.59303748859982,1392.6800000000019,-6.083049327354268,0.22869955156950672,1.251121076233184
R0043,10,1.5,12,0.5,pullback,short,fixed_sl_atr_tp,8.0,20.0,96,0.7,1.25,1.0,24,497.0,-1260.280000000004,5187.480000000016,6447.759999999946,0.8045398712110965,1350.640000000004,-2.535774647887332,0.24748490945674045,1.5935613682092555,223.0,-1274.5200000000018,1794.1999999999998,3068.719999999988,0.5846737401913523,1306.0400000000018,-5.715336322869963,0.20179372197309417,1.2242152466367713
R0044,10,1.5,12,0.5,pullback,short,fixed_sl_atr_tp,8.0,20.0,96,0.7,1.5,1.0,24,497.0,-1144.2800000000043,5372.440000000016,6516.719999999945,0.8244085981905102,1248.7200000000041,-2.3023742454728455,0.23943661971830985,1.6498993963782695,223.0,-1300.5200000000018,1785.4399999999998,3085.9599999999878,0.578568743600049,1342.0400000000018,-5.831928251121084,0.19730941704035873,1.242152466367713
