param_id,side,label,entry_time,exit_time,entry,exit,sl,tp,pnl,gross_pnl,exit_reason,hold_bars,exit_label
R0336,short,S-0.5,2026-06-15T17:15:00+00:00,2026-06-15T17:20:00+00:00,30867.25,30875.25,30875.25,30843.25,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-15T17:55:00+00:00,2026-06-15T18:00:00+00:00,30858.75,30834.75,30866.75,30834.75,46.76,48.0,tp,1,XS-0.5
R0336,short,S-0.5,2026-06-15T18:20:00+00:00,2026-06-15T18:25:00+00:00,30854.5,30862.5,30862.5,30830.5,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-15T18:30:00+00:00,2026-06-15T18:35:00+00:00,30852.75,30860.75,30860.75,30828.75,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-15T19:50:00+00:00,2026-06-15T19:55:00+00:00,30843.0,30851.0,30851.0,30819.0,-17.24,-16.0,sl_same_bar,1,XS-0.5
R0336,short,S-0.5,2026-06-15T20:20:00+00:00,2026-06-15T20:30:00+00:00,30848.5,30856.5,30856.5,30824.5,-17.24,-16.0,sl,2,XS-0.5
R0336,short,S-0.5,2026-06-15T20:35:00+00:00,2026-06-15T22:00:00+00:00,30846.0,30854.0,30854.0,30822.0,-17.24,-16.0,sl,5,XS-0.5
R0336,short,S-0.5,2026-06-15T22:05:00+00:00,2026-06-15T22:10:00+00:00,30846.75,30822.75,30854.75,30822.75,46.76,48.0,tp,1,XS-0.5
R0336,short,S-0.5,2026-06-15T22:50:00+00:00,2026-06-15T22:55:00+00:00,30794.5,30802.5,30802.5,30770.5,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-16T01:35:00+00:00,2026-06-16T01:45:00+00:00,30792.75,30800.75,30800.75,30768.75,-17.24,-16.0,sl,2,XS-0.5
R0336,short,S-0.5,2026-06-16T02:00:00+00:00,2026-06-16T02:05:00+00:00,30779.5,30787.5,30787.5,30755.5,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-16T02:10:00+00:00,2026-06-16T02:15:00+00:00,30776.75,30784.75,30784.75,30752.75,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-16T02:20:00+00:00,2026-06-16T02:30:00+00:00,30783.25,30791.25,30791.25,30759.25,-17.24,-16.0,sl,2,XS-0.5
R0336,short,S-0.5,2026-06-16T02:50:00+00:00,2026-06-16T02:55:00+00:00,30779.0,30787.0,30787.0,30755.0,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-16T03:00:00+00:00,2026-06-16T03:05:00+00:00,30788.0,30796.0,30796.0,30764.0,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-16T03:10:00+00:00,2026-06-16T03:15:00+00:00,30782.25,30790.25,30790.25,30758.25,-17.24,-16.0,sl,1,XS-0.5
R0336,short,S-0.5,2026-06-16T04:15:00+00:00,2026-06-16T04:20:00+00:00,30813.0,30821.0,30821.0,30789.0,-17.24,-16.0,sl,1,XS-0.5
