param_id,side,label,entry_time,exit_time,entry,exit,sl,tp,pnl,gross_pnl,exit_reason,hold_bars,exit_label
R0109,long,L-0.5,2026-06-18T02:40:00+00:00,2026-06-18T04:40:00+00:00,70.96000000000001,70.75,62.96,86.96000000000001,-129.8000000000048,-126.00000000000477,time,24,XL-0.5
R0109,long,L-0.5,2026-06-18T05:00:00+00:00,2026-06-18T07:00:00+00:00,70.87,70.95999908447266,62.870000000000005,86.87,50.199450683591024,53.99945068359102,time,24,XL-0.5
R0109,long,L-0.5,2026-06-18T10:35:00+00:00,2026-06-18T12:35:00+00:00,66.24,66.0,56.24,82.24,-147.79999999999694,-143.99999999999693,time,24,XL-0.5
R0109,long,L-0.5,2026-06-18T15:25:00+00:00,2026-06-18T17:25:00+00:00,65.4,69.58000183105469,55.4,81.4,2504.2010986328087,2508.001098632809,time,24,XL-0.5
R0109,short,S-0.5,2026-06-18T18:10:00+00:00,2026-06-22T01:50:00+00:00,69.71000000000001,66.33999633789062,79.71000000000001,53.71,2018.2021972656298,2022.0021972656298,time,24,XS-0.5
R0109,long,L-0.5,2026-06-22T02:30:00+00:00,2026-06-22T04:30:00+00:00,66.39,66.5,58.39,82.39,62.19999999999966,65.99999999999966,time,24,XL-0.5
R0109,long,L-0.5,2026-06-22T04:45:00+00:00,2026-06-22T06:45:00+00:00,66.54,66.72000122070312,58.54,82.54,104.20073242187125,108.00073242187125,time,24,XL-0.5
R0109,short,S-0.5,2026-06-22T07:55:00+00:00,2026-06-22T09:55:00+00:00,66.68,66.70999908447266,74.68,50.68,-21.799450683589658,-17.999450683589657,time,24,XS-0.5
R0109,short,S-0.5,2026-06-22T10:35:00+00:00,2026-06-22T12:35:00+00:00,66.64,66.37999725341797,74.64,50.64,152.20164794921908,156.0016479492191,time,24,XS-0.5
R0109,short,S-0.5,2026-06-22T13:40:00+00:00,2026-06-22T15:40:00+00:00,66.43,66.93000030517578,76.43,50.43,-303.80018310546467,-300.00018310546466,time,24,XS-0.5
R0109,long,L-0.5,2026-06-22T15:55:00+00:00,2026-06-22T17:55:00+00:00,66.99,66.86000061035156,56.99,82.99,-81.79963378905943,-77.99963378905943,time,24,XL-0.5
R0109,short,S-0.5,2026-06-23T00:00:00+00:00,2026-06-23T02:00:00+00:00,66.92,67.06999969482422,74.92,50.92,-93.79981689453022,-89.99981689453023,time,24,XS-0.5
R0109,short,S-0.5,2026-06-23T03:00:00+00:00,2026-06-23T05:00:00+00:00,66.98,66.68000030517578,74.98,50.980000000000004,176.19981689453363,179.99981689453364,time,24,XS-0.5
R0109,long,L-0.5,2026-06-23T06:50:00+00:00,2026-06-23T08:50:00+00:00,66.52,66.91999816894531,56.52,82.52,236.19890136718988,239.9989013671899,time,24,XL-0.5
R0109,short,S-0.5,2026-06-23T09:40:00+00:00,2026-06-23T11:40:00+00:00,66.85,66.68000030517578,74.85000000000001,50.85,98.19981689452784,101.99981689452784,time,24,XS-0.5
R0109,long,L-0.5,2026-06-23T13:40:00+00:00,2026-06-23T15:40:00+00:00,66.7,66.5,56.7,82.7,-123.8000000000017,-120.0000000000017,time,24,XL-0.5
R0109,long,L-0.5,2026-06-23T17:25:00+00:00,2026-06-24T01:05:00+00:00,66.66,66.63999938964844,58.660000000000004,82.66,-15.800366210935454,-12.000366210935454,time,24,XL-0.5
R0109,long,L-0.5,2026-06-24T01:20:00+00:00,2026-06-24T03:20:00+00:00,66.74,66.3499984741211,58.74,82.74,-237.8009155273407,-234.00091552734068,time,24,XL-0.5
R0109,short,S-0.5,2026-06-24T05:50:00+00:00,2026-06-24T07:55:00+00:00,66.49,66.1500015258789,74.49,50.49,200.19908447265317,203.99908447265318,time,24,XS-0.5
R0109,long,L-0.5,2026-06-24T08:55:00+00:00,2026-06-24T10:55:00+00:00,66.4,66.33999633789062,58.4,82.4,-39.80219726562841,-36.00219726562841,time,24,XL-0.5
R0109,long,L-0.5,2026-06-24T13:55:00+00:00,2026-06-24T15:55:00+00:00,66.03,66.23999786376953,56.03,82.03,122.19871826171807,125.99871826171807,time,24,XL-0.5
R0109,short,S-0.5,2026-06-24T16:00:00+00:00,2026-06-24T18:00:00+00:00,66.18,65.83000183105469,74.18,50.18,206.19890136719158,209.9989013671916,time,24,XS-0.5
R0109,long,L-0.5,2026-06-25T03:05:00+00:00,2026-06-25T05:10:00+00:00,65.33,65.4000015258789,57.33,81.33,38.200915527344776,42.00091552734477,time,24,XL-0.5
R0109,short,S-0.5,2026-06-25T05:15:00+00:00,2026-06-25T07:15:00+00:00,65.39,65.47000122070312,73.39,49.39,-51.800732421874656,-48.00073242187466,time,24,XS-0.5
R0109,long,L-0.5,2026-06-25T07:30:00+00:00,2026-06-25T09:30:00+00:00,65.43,65.41000366210938,57.43,81.43,-15.797802734379093,-11.997802734379093,time,24,XL-0.5
R0109,long,L-0.5,2026-06-25T11:20:00+00:00,2026-06-25T14:05:00+00:00,65.36,65.88999938964844,55.36,81.36,314.19963378906283,317.99963378906284,time,24,XL-0.5
R0109,short,S-0.5,2026-06-25T16:55:00+00:00,2026-06-26T00:35:00+00:00,66.63,66.9800033569336,74.63,50.63,-213.802014160159,-210.00201416015898,time,24,XS-0.5
R0109,long,L-0.5,2026-06-26T01:40:00+00:00,2026-06-26T03:40:00+00:00,67.12,66.76000213623047,59.120000000000005,83.12,-219.7987182617215,-215.99871826172148,time,24,XL-0.5
R0109,short,S-0.5,2026-06-26T07:15:00+00:00,2026-06-26T09:15:00+00:00,66.93,66.5,74.93,50.93,254.20000000000408,258.0000000000041,time,24,XS-0.5
R0109,short,S-0.5,2026-06-26T10:35:00+00:00,2026-06-26T12:35:00+00:00,66.53,66.48999786376953,74.53,50.53,20.20128173828193,24.001281738281932,time,24,XS-0.5
R0109,short,S-0.5,2026-06-26T14:20:00+00:00,2026-06-26T16:20:00+00:00,66.61,66.98999786376953,76.61,50.61,-231.7987182617191,-227.9987182617191,time,24,XS-0.5
R0109,long,L-0.5,2026-06-29T00:00:00+00:00,2026-06-29T02:00:00+00:00,66.99,67.25,56.99,82.99,152.20000000000306,156.00000000000307,time,24,XL-0.5
R0109,short,S-0.5,2026-06-29T02:30:00+00:00,2026-06-29T04:50:00+00:00,67.29,67.2699966430664,75.29,51.29,8.202014160160001,12.002014160160002,time,24,XS-0.5
R0109,long,L-0.5,2026-06-29T05:50:00+00:00,2026-06-29T07:50:00+00:00,67.23,67.0999984741211,59.230000000000004,83.23,-81.80091552734613,-78.00091552734614,time,24,XL-0.5
R0109,long,L-0.5,2026-06-29T09:20:00+00:00,2026-06-29T11:20:00+00:00,67.26,67.23999786376953,57.26,83.26,-15.80128173828432,-12.00128173828432,time,24,XL-0.5
R0109,short,S-0.5,2026-06-29T11:35:00+00:00,2026-06-29T14:20:00+00:00,67.25,67.11000061035156,75.25,51.25,80.1996337890625,83.9996337890625,time,24,XS-0.5
R0109,long,L-0.5,2026-06-30T03:00:00+00:00,2026-06-30T05:50:00+00:00,68.44,68.54000091552734,60.44,84.44,56.20054931640762,60.000549316407614,time,24,XL-0.5
R0109,short,S-0.5,2026-06-30T06:55:00+00:00,2026-06-30T08:55:00+00:00,68.32000000000001,66.22000122070312,76.32000000000001,52.32,1256.1992675781296,1259.9992675781295,time,24,XS-0.5
R0109,long,L-0.5,2026-06-30T09:30:00+00:00,2026-06-30T11:30:00+00:00,66.36,66.1500015258789,58.36,82.36,-129.79908447265592,-125.99908447265591,time,24,XL-0.5
R0109,short,S-0.5,2026-06-30T12:20:00+00:00,2026-06-30T15:05:00+00:00,66.07000000000001,65.33999633789062,76.07000000000001,50.07,434.2021972656294,438.00219726562943,time,24,XS-0.5
R0109,long,L-0.5,2026-06-30T16:05:00+00:00,2026-06-30T18:05:00+00:00,65.16,65.1500015258789,55.160000000000004,81.16,-9.799084472654204,-5.999084472654204,time,24,XL-0.5
R0109,long,L-0.5,2026-07-01T02:10:00+00:00,2026-07-01T04:10:00+00:00,65.17,65.55000305175781,57.17,81.17,224.20183105468647,228.00183105468648,time,24,XL-0.5
R0109,long,L-0.5,2026-07-01T06:20:00+00:00,2026-07-01T08:20:00+00:00,65.57000000000001,65.13999938964844,57.57,81.57000000000001,-261.80036621094195,-258.00036621094193,time,24,XL-0.5
R0109,long,L-0.5,2026-07-01T11:45:00+00:00,2026-07-01T14:30:00+00:00,64.89,65.2300033569336,54.89,80.89,200.2020141601559,204.0020141601559,time,24,XL-0.5
R0109,long,L-0.5,2026-07-01T14:50:00+00:00,2026-07-01T16:50:00+00:00,65.01,64.91999816894531,55.01,81.01,-57.80109863281557,-54.00109863281557,time,24,XL-0.5
R0109,long,L-0.5,2026-07-01T17:10:00+00:00,2026-07-02T00:50:00+00:00,64.92,65.36000061035156,56.92,80.92,260.20036621093647,264.0003662109365,time,24,XL-0.5
