config_id,signal_family,side_mode,sl_rule,tp_rule,sl_value,tp_value,max_hold_bars,trades,pnl,profit_factor,win_rate,expectancy,max_dd,total_gain,total_loss,wf_folds,wf_positive,wf_all_positive,wf_pnls,day_positive_rate,week_positive_rate,month_positive_rate,week_std_pnl
X00345,emapmo,long_only,fixed,fixed,15.0,60.0,24,125,-5.0,0.9984,0.208,-0.04,611.92,3087.76,-3092.76,3,2,False,"[37.92, -112.08, 69.16]",0.6,0.4286,0.3333,198.78
X00402,emapmo,long_only,fixed,fixed,15.0,60.0,48,125,-5.0,0.9984,0.208,-0.04,611.92,3087.76,-3092.76,3,2,False,"[37.92, -112.08, 69.16]",0.6,0.4286,0.3333,198.78
X01177,icefishball,short_only,atr_blend,atr_blend,1.5,1.0,6,319,-18.06,0.9982,0.5674,-0.0566,1058.42,9768.56,-9786.62,3,2,False,"[-99.68, 69.06, 12.56]",0.5,0.6154,0.5,215.4
X01343,icefishball,short_only,atr,atr,2.5,4.0,48,223,-37.02,0.9979,0.3901,-0.166,2066.98,17516.62,-17553.64,3,2,False,"[-1127.5, 749.74, 340.74]",0.4821,0.4615,0.5,627.52
X01223,icefishball,short_only,atr,atr,2.0,1.5,12,288,-27.62,0.9977,0.5243,-0.0959,1322.16,11933.26,-11960.88,3,2,False,"[-372.04, 324.96, 19.46]",0.4821,0.6154,0.5,336.17
X00111,emapmo,all,range15_pct,range15_pct,1.0,2.0,12,131,-18.94,0.9976,0.4198,-0.1446,1944.4,7822.8,-7841.74,3,2,False,"[343.94, -848.06, 485.18]",0.4474,0.5,0.75,378.7
X01291,icefishball,short_only,atr_blend,atr_blend,1.5,1.0,24,312,-28.38,0.9975,0.5929,-0.091,1376.32,11305.1,-11333.48,3,1,False,"[-57.96, 290.04, -260.46]",0.4821,0.4615,0.5,366.74
X00158,emapmo,all,atr_blend,atr_blend,2.0,4.0,24,98,-23.52,0.997,0.4286,-0.24,2127.88,7810.92,-7834.44,3,2,False,"[579.08, -775.92, 173.32]",0.4474,0.5,0.75,458.98
X01340,icefishball,short_only,atr,atr,2.5,1.0,48,263,-38.62,0.9966,0.6958,-0.1468,1328.34,11206.08,-11244.7,3,1,False,"[-641.62, -250.12, 853.12]",0.5,0.5385,0.75,545.17
X01370,momentum_reversion,all,fixed,fixed,15.0,30.0,6,149,-11.26,0.9962,0.3557,-0.0756,477.18,2965.28,-2976.54,3,1,False,"[-22.0, 58.0, -47.26]",0.5532,0.4167,0.75,129.71
