signal_id,signal_family,signal_subtype,direction,side,signal_time,entry_time,source_i,entry_i,entry,source_close,atr14,atr50,range15,session,trade_date,week,month,pmo,pmo_signal,kdj_j,rsi14,mom_norm,rev_z,cluster_size,cluster_kind,cluster_families,zone_15m_id,zone_15m_state,zone_15m_poc,zone_15m_vah,zone_15m_val,zone_15m_high,zone_15m_low,zone_15m_width,zone_15m_age_min,zone_30m_id,zone_30m_state,zone_30m_poc,zone_30m_vah,zone_30m_val,zone_30m_high,zone_30m_low,zone_30m_width,zone_30m_age_min,zone_1h_id,zone_1h_state,zone_1h_poc,zone_1h_vah,zone_1h_val,zone_1h_high,zone_1h_low,zone_1h_width,zone_1h_age_min,zone_2h_state,zone_4h_state,zone_2h_id,zone_2h_poc,zone_2h_vah,zone_2h_val,zone_2h_high,zone_2h_low,zone_2h_width,zone_2h_age_min,zone_4h_id,zone_4h_poc,zone_4h_vah,zone_4h_val,zone_4h_high,zone_4h_low,zone_4h_width,zone_4h_age_min,h1_correct,h1_ret_points,h1_mfe_points,h1_mae_points,h1_peak_capture,h1_wrong_short_right_long,h3_correct,h3_ret_points,h3_mfe_points,h3_mae_points,h3_peak_capture,h3_wrong_short_right_long,h6_correct,h6_ret_points,h6_mfe_points,h6_mae_points,h6_peak_capture,h6_wrong_short_right_long,h12_correct,h12_ret_points,h12_mfe_points,h12_mae_points,h12_peak_capture,h12_wrong_short_right_long,h24_correct,h24_ret_points,h24_mfe_points,h24_mae_points,h24_peak_capture,h24_wrong_short_right_long,h48_correct,h48_ret_points,h48_mfe_points,h48_mae_points,h48_peak_capture,h48_wrong_short_right_long
momentum_reversion:m200r5_0362:long:2026-05-13T10:35:00+00:00,momentum_reversion,m200r5_0362,1,long,2026-05-13 10:30:00+00:00,2026-05-13 10:35:00+00:00,4842,4843,29643.75,29643.25,16.410714285714285,17.21,33.5,EURO,2026-05-13,2026-W20,2026-05,0.06863912703411784,0.07172770534289778,-7.694326491616138,40.01736725744957,0.6118095407812164,-1.3824591072216317,1,solo,momentum_reversion,B1614,breakout_full_down,29659.5,29670.75,29655.25,29674.75,29650.0,24.75,6,B0807,breakout_full_down,29667.25,29685.75,29651.25,29692.5,29650.0,42.5,6,B0403,below_val,29676.25,29688.0,29648.0,29695.5,29636.0,59.5,36,below_val,breakout_full_up,B0210,29678.5,29715.25,29654.75,29717.5,29636.0,81.5,36.0,B0108,29585.5,29610.25,29538.75,29640.75,29512.75,128.0,156.0,1,17.25,20.5,6.5,1,0,1,15.5,22.25,6.5,1,0,0,-6.25,22.25,17.75,0,0,0,-9.0,22.25,26.75,0,0,0,-144.0,27.75,148.25,0,0,0,-135.0,27.75,299.25,0,0
icefishball:kdjma:long:2026-05-13T12:25:00+00:00,icefishball,kdjma,1,long,2026-05-13 12:20:00+00:00,2026-05-13 12:25:00+00:00,4864,4865,29607.5,29607.75,20.785714285714285,18.01,68.75,PRE,2026-05-13,2026-W20,2026-05,0.04292840899830481,0.04822785740911201,18.19170754969798,36.45586479843933,-0.49444547607443734,-1.3578747943593732,1,solo,icefishball,B1621,breakout_full_down,29646.25,29662.75,29637.75,29671.5,29633.75,37.75,11,B0810,breakout_full_down,29641.5,29648.75,29632.5,29652.5,29623.25,29.25,26,B0405,breakout_full_down,29639.5,29647.75,29626.0,29664.0,29617.0,47.0,26,breakout_full_down,breakout_full_down,B0211,29639.5,29664.5,29624.75,29692.5,29617.0,75.5,26.0,B0109,29659.5,29691.75,29627.0,29717.5,29617.0,100.5,26.0,0,-60.75,23.0,82.0,0,0,0,-90.25,23.0,138.25,0,0,0,-102.0,23.0,138.25,0,0,0,-51.0,23.0,138.25,0,0,0,-101.25,23.0,263.0,0,0,1,98.75,106.0,263.0,0,1
icefishball:kdjma:long:2026-05-13T12:50:00+00:00,icefishball,kdjma,1,long,2026-05-13 12:45:00+00:00,2026-05-13 12:50:00+00:00,4869,4870,29511.25,29510.75,34.035714285714285,21.84,92.5,PRE,2026-05-13,2026-W20,2026-05,0.026810745564642205,0.03846599711385951,11.064701266182446,27.55407552406082,-0.6794085529060605,-1.952512548808227,1,solo,icefishball,B1623,inside_va,29513.5,29570.5,29486.75,29630.5,29469.25,161.25,6,B0811,breakout_full_down,29646.25,29671.25,29603.0,29671.5,29578.5,93.0,21,B0405,breakout_full_down,29639.5,29647.75,29626.0,29664.0,29617.0,47.0,51,breakout_full_down,breakout_full_down,B0211,29639.5,29664.5,29624.75,29692.5,29617.0,75.5,51.0,B0109,29659.5,29691.75,29627.0,29717.5,29617.0,100.5,51.0,0,-5.75,16.75,18.5,0,0,1,36.25,52.5,18.5,0,1,1,54.5,55.75,18.5,0,1,0,-20.75,62.75,166.75,0,0,1,68.25,73.0,166.75,0,0,1,198.75,206.0,166.75,0,1
icefishball:kdjma:short:2026-05-13T15:05:00+00:00,icefishball,kdjma,-1,short,2026-05-13 15:00:00+00:00,2026-05-13 15:05:00+00:00,4896,4897,29605.25,29605.25,54.19642857142857,42.34,92.75,RTH,2026-05-13,2026-W20,2026-05,-0.01849180633997884,-0.01945034437883283,102.98410006350312,61.23348329441716,-0.10283914499460264,1.2273908095762938,1,solo,icefishball,B1632,breakout_full_up,29580.5,29590.5,29533.0,29591.75,29507.5,84.25,6,B0816,breakout_full_up,29534.5,29569.75,29490.5,29591.75,29481.0,110.75,6,B0408,breakout_full_up,29514.5,29591.5,29432.5,29591.75,29383.25,208.5,6,above_vah,breakout_full_down,B0212,29512.0,29567.5,29407.75,29671.5,29344.5,327.0,66.0,B0109,29659.5,29691.75,29627.0,29717.5,29617.0,100.5,186.0,1,14.0,37.75,2.25,0,0,1,18.5,37.75,6.0,0,0,1,2.75,54.5,8.75,1,0,0,-31.75,54.5,48.0,0,0,0,-140.5,54.5,156.5,0,0,0,-181.5,54.5,229.25,0,0
icefishball:kdjma:short:2026-05-13T16:45:00+00:00,icefishball,kdjma,-1,short,2026-05-13 16:40:00+00:00,2026-05-13 16:45:00+00:00,4916,4917,29703.0,29702.75,34.57142857142857,46.09,33.75,RTH,2026-05-13,2026-W20,2026-05,0.01774485778610877,0.00734893496896038,95.42177722397207,66.64845054272503,0.6265752636573297,1.0535580693390818,1,solo,icefishball,B1639,inside_va,29707.75,29714.0,29699.5,29717.25,29683.5,33.75,1,B0819,inside_va,29648.5,29713.25,29619.25,29713.5,29568.75,144.75,16,B0409,breakout_full_up,29601.25,29616.5,29565.0,29653.25,29550.75,102.5,46,breakout_full_up,breakout_full_up,B0213,29601.25,29653.0,29445.25,29653.25,29383.25,270.0,46.0,B0110,29512.0,29596.75,29408.25,29671.5,29344.5,327.0,46.0,0,-7.0,18.5,9.25,0,0,0,-35.75,18.5,43.25,0,0,0,-51.0,18.5,62.5,0,0,0,-44.25,18.5,62.5,0,0,0,-78.75,18.5,131.5,0,0,0,-101.0,18.5,131.5,0,0
icefishball:kdjma:short:2026-05-13T17:00:00+00:00,icefishball,kdjma,-1,short,2026-05-13 16:55:00+00:00,2026-05-13 17:00:00+00:00,4919,4920,29717.25,29716.75,32.0,44.54,48.0,RTH,2026-05-13,2026-W20,2026-05,0.024602508379170916,0.014228585691214763,84.91072242137099,68.02892033866114,1.2043830932281914,1.048333281687519,1,solo,icefishball,B1640,inside_va,29704.5,29721.75,29691.5,29732.5,29684.5,48.0,1,B0820,inside_va,29708.0,29719.0,29692.25,29732.5,29683.5,49.0,1,B0410,inside_va,29708.0,29732.25,29638.25,29732.5,29568.75,163.75,1,breakout_full_up,breakout_full_up,B0213,29601.25,29653.0,29445.25,29653.25,29383.25,270.0,61.0,B0110,29512.0,29596.75,29408.25,29671.5,29344.5,327.0,61.0,0,-28.5,0.0,44.5,0,0,0,-36.75,0.0,48.25,0,0,0,-22.5,0.0,48.25,0,0,0,-27.25,6.25,48.25,0,0,0,-42.25,6.25,117.25,0,0,0,-102.0,6.25,117.25,0,0
icefishball:kdjma:short:2026-05-13T17:10:00+00:00,icefishball,kdjma,-1,short,2026-05-13 17:05:00+00:00,2026-05-13 17:10:00+00:00,4921,4922,29745.75,29745.75,30.178571428571427,44.35,54.0,RTH,2026-05-13,2026-W20,2026-05,0.03016457477143269,0.019083008231824936,82.9991345476391,71.98989752925488,1.7852835003352963,1.5140933515452684,1,solo,icefishball,B1640,breakout_full_up,29704.5,29721.75,29691.5,29732.5,29684.5,48.0,11,B0820,breakout_full_up,29708.0,29719.0,29692.25,29732.5,29683.5,49.0,11,B0410,breakout_full_up,29708.0,29732.25,29638.25,29732.5,29568.75,163.75,11,breakout_full_up,breakout_full_up,B0213,29601.25,29653.0,29445.25,29653.25,29383.25,270.0,71.0,B0110,29512.0,29596.75,29408.25,29671.5,29344.5,327.0,71.0,0,-8.25,0.0,19.75,0,0,0,-10.5,13.5,19.75,0,0,0,-4.0,13.5,19.75,0,0,0,-45.5,34.75,47.0,0,0,0,-49.0,34.75,88.75,0,0,0,-80.25,34.75,88.75,0,0
icefishball:kdjma:short:2026-05-13T18:25:00+00:00,icefishball,kdjma,-1,short,2026-05-13 18:20:00+00:00,2026-05-13 18:25:00+00:00,4936,4937,29819.5,29819.75,23.928571428571427,33.26,78.75,RTH,2026-05-13,2026-W20,2026-05,0.058357971856203374,0.049617465711502856,103.4868636282865,72.10170772930084,1.417361166191887,2.2295402747964657,1,solo,icefishball,B1645,breakout_full_up,29745.0,29771.0,29711.25,29792.75,29711.0,81.75,11,B0822,breakout_full_up,29742.0,29756.5,29737.0,29761.5,29711.5,50.0,26,B0411,breakout_full_up,29752.75,29759.5,29737.25,29765.5,29711.5,54.0,26,breakout_full_up,breakout_full_up,B0214,29752.75,29764.5,29656.25,29765.5,29568.75,196.75,26.0,B0110,29512.0,29596.75,29408.25,29671.5,29344.5,327.0,146.0,1,6.0,14.5,14.0,0,0,1,36.5,40.0,14.0,0,0,1,78.0,83.75,14.0,0,0,1,24.25,83.75,14.0,0,0,1,31.75,103.75,14.0,0,0,0,-70.25,103.75,98.5,0,0
emapmo:early:short:2026-05-13T18:55:00+00:00,emapmo,early,-1,short,2026-05-13 18:50:00+00:00,2026-05-13 18:55:00+00:00,4942,4943,29776.25,29776.0,24.285714285714285,29.02,37.75,RTH,2026-05-13,2026-W20,2026-05,0.06631342057396068,0.06017716888348391,21.177815121027436,57.37815863402981,1.2028281129449285,-0.2355535588807577,3,mixed,emapmo+momentum_reversion,B1647,breakout_full_down,29795.75,29814.5,29787.5,29825.0,29779.5,45.5,11,B0823,inside_va,29821.75,29834.25,29744.25,29834.5,29711.0,123.5,26,B0411,breakout_full_up,29752.75,29759.5,29737.25,29765.5,29711.5,54.0,56,breakout_full_up,breakout_full_up,B0214,29752.75,29764.5,29656.25,29765.5,29568.75,196.75,56.0,B0110,29512.0,29596.75,29408.25,29671.5,29344.5,327.0,176.0,1,16.75,40.5,0.5,1,0,0,-18.5,40.5,20.75,0,0,0,-19.0,40.5,33.5,0,0,1,31.5,57.5,33.5,0,1,0,-30.0,60.5,40.0,0,0,0,-125.25,60.5,141.75,0,0
emapmo:early:short:2026-05-13T19:00:00+00:00,emapmo,early,-1,short,2026-05-13 18:55:00+00:00,2026-05-13 19:00:00+00:00,4943,4944,29741.5,29741.5,26.089285714285715,29.03,57.5,RTH,2026-05-13,2026-W20,2026-05,0.06586269042411053,0.06121090007268874,-3.7218770889363526,47.56279669057216,0.8424082582734655,-1.3044743453300527,4,mixed,emapmo+momentum_reversion,B1648,below_val,29776.0,29792.5,29761.5,29793.25,29735.75,57.5,1,B0824,below_val,29787.75,29813.25,29766.75,29825.0,29735.75,89.25,1,B0412,below_val,29812.5,29828.75,29752.25,29834.5,29711.0,123.5,1,inside_va,breakout_full_up,B0214,29752.75,29764.5,29656.25,29765.5,29568.75,196.75,61.0,B0110,29512.0,29596.75,29408.25,29671.5,29344.5,327.0,181.0,0,-45.25,1.0,48.25,0,0,0,-63.75,1.0,67.75,0,0,0,-43.75,1.0,68.25,0,0,1,12.25,25.75,68.25,0,1,0,-77.75,25.75,82.25,0,0,0,-123.25,25.75,176.5,0,0
momentum_reversion:m200r5_0362:long:2026-05-13T19:00:00+00:00,momentum_reversion,m200r5_0362,1,long,2026-05-13 18:55:00+00:00,2026-05-13 19:00:00+00:00,4943,4944,29741.5,29741.5,26.089285714285715,29.03,57.5,RTH,2026-05-13,2026-W20,2026-05,0.06586269042411053,0.06121090007268874,-3.7218770889363526,47.56279669057216,0.8424082582734655,-1.3044743453300527,4,mixed,emapmo+momentum_reversion,B1648,below_val,29776.0,29792.5,29761.5,29793.25,29735.75,57.5,1,B0824,below_val,29787.75,29813.25,29766.75,29825.0,29735.75,89.25,1,B0412,below_val,29812.5,29828.75,29752.25,29834.5,29711.0,123.5,1,inside_va,breakout_full_up,B0214,29752.75,29764.5,29656.25,29765.5,29568.75,196.75,61.0,B0110,29512.0,29596.75,29408.25,29671.5,29344.5,327.0,181.0,1,45.25,48.25,1.0,1,0,1,63.75,67.75,1.0,1,0,1,43.75,68.25,1.0,1,0,0,-12.25,68.25,25.75,0,0,1,77.75,82.25,25.75,0,0,1,123.25,176.5,25.75,0,1
emapmo:early:short:2026-05-13T19:05:00+00:00,emapmo,early,-1,short,2026-05-13 19:00:00+00:00,2026-05-13 19:05:00+00:00,4944,4945,29759.25,29759.5,27.0,28.355,47.25,RTH,2026-05-13,2026-W20,2026-05,0.06585704434040236,0.0620556535759094,0.44932621862685096,52.16092010471514,0.6573438284331492,-0.5024525439458322,4,mixed,emapmo+momentum_reversion,B1648,below_val,29776.0,29792.5,29761.5,29793.25,29735.75,57.5,6,B0824,below_val,29787.75,29813.25,29766.75,29825.0,29735.75,89.25,6,B0412,inside_va,29812.5,29828.75,29752.25,29834.5,29711.0,123.5,6,inside_va,breakout_full_up,B0214,29752.75,29764.5,29656.25,29765.5,29568.75,196.75,66.0,B0110,29512.0,29596.75,29408.25,29671.5,29344.5,327.0,186.0,0,-35.5,16.0,37.75,0,0,0,-16.0,16.0,50.5,0,0,0,-36.5,16.0,50.5,0,0,0,-17.0,43.5,50.5,0,0,0,-60.75,43.5,71.0,0,0,0,-123.5,43.5,158.75,0,0
emapmo:early:short:2026-05-13T19:10:00+00:00,emapmo,early,-1,short,2026-05-13 19:05:00+00:00,2026-05-13 19:10:00+00:00,4945,4946,29786.25,29786.75,27.517857142857142,28.775,54.0,RTH,2026-05-13,2026-W20,2026-05,0.06651165094424674,0.0628658349156071,26.79922409058453,58.14463534331162,0.9495041358597722,0.42076620022417427,3,same_family,emapmo,B1648,inside_va,29776.0,29792.5,29761.5,29793.25,29735.75,57.5,11,B0824,inside_va,29787.75,29813.25,29766.75,29825.0,29735.75,89.25,11,B0412,inside_va,29812.5,29828.75,29752.25,29834.5,29711.0,123.5,11,breakout_full_up,breakout_full_up,B0214,29752.75,29764.5,29656.25,29765.5,29568.75,196.75,71.0,B0110,29512.0,29596.75,29408.25,29671.5,29344.5,327.0,191.0,0,-19.0,8.5,23.0,0,0,0,-9.0,18.0,23.5,0,0,0,-15.25,18.0,23.5,0,0,1,6.5,70.5,23.5,0,1,0,-39.75,70.5,44.0,0,0,0,-114.0,70.5,131.75,0,0
