signal_family,group,signals,h1_direction_acc,h1_avg_ret_points,h1_peak_capture_rate,h1_wrong_short_right_long_rate,h3_direction_acc,h3_avg_ret_points,h3_peak_capture_rate,h3_wrong_short_right_long_rate,h6_direction_acc,h6_avg_ret_points,h6_peak_capture_rate,h6_wrong_short_right_long_rate,h12_direction_acc,h12_avg_ret_points,h12_peak_capture_rate,h12_wrong_short_right_long_rate,h24_direction_acc,h24_avg_ret_points,h24_peak_capture_rate,h24_wrong_short_right_long_rate,h48_direction_acc,h48_avg_ret_points,h48_peak_capture_rate,h48_wrong_short_right_long_rate,side,session,cluster_kind,week,month
momentum_reversion,signal_family+cluster_kind,64,0.6094,3.5938,0.2812,0.0,0.6562,8.6875,0.3906,0.125,0.6562,14.5117,0.375,0.1562,0.5469,14.1016,0.2812,0.1406,0.5625,18.1641,0.2344,0.125,0.5312,19.8438,0.2188,0.1719,,,solo,,
emapmo,signal_family+week,48,0.5,1.7188,0.2917,0.0,0.4792,1.3854,0.3333,0.0625,0.5417,6.0573,0.3125,0.1875,0.4792,3.2604,0.2083,0.1458,0.3542,-7.5052,0.1875,0.0625,0.5,-17.2292,0.0833,0.3125,,,,2026-W17,
emapmo,signal_family+week,68,0.4559,-0.3272,0.2353,0.0,0.5735,-0.1324,0.3235,0.1912,0.5441,3.2132,0.3235,0.1912,0.5294,12.6801,0.1912,0.1618,0.5882,48.1066,0.1176,0.1912,0.5882,99.9007,0.1176,0.2353,,,,2026-W18,
emapmo,signal_family+week,89,0.4494,0.7022,0.1685,0.0,0.4382,1.0758,0.2584,0.1461,0.4607,3.309,0.2697,0.1573,0.4607,4.3315,0.236,0.1461,0.3371,-14.2051,0.2022,0.0337,0.2921,-46.2135,0.1461,0.0449,,,,2026-W19,
emapmo,signal_family+week,66,0.5455,5.4848,0.3182,0.0,0.5455,5.7348,0.3333,0.1212,0.5303,6.7955,0.2879,0.1212,0.4242,5.5379,0.197,0.1515,0.4242,3.0114,0.1818,0.0909,0.5303,22.7538,0.1667,0.2121,,,,2026-W20,
emapmo,signal_family+week,41,0.6098,6.6341,0.1951,0.0,0.5122,10.7134,0.2439,0.1463,0.5122,9.2012,0.1951,0.122,0.439,13.6463,0.1951,0.0732,0.6098,16.3963,0.0976,0.2195,0.2439,-26.0793,0.0244,0.0976,,,,2026-W21,
emapmo,signal_family+week,65,0.4462,-0.9154,0.2154,0.0,0.4769,-2.2769,0.2462,0.1385,0.4308,-6.2231,0.2154,0.1538,0.3846,-13.6,0.1077,0.1077,0.2769,-22.0423,0.0615,0.0615,0.2462,-38.3154,0.0,0.0615,,,,2026-W22,
emapmo,signal_family+week,38,0.5,-8.1776,0.2632,0.0,0.4211,-20.1974,0.2368,0.1053,0.4211,-44.1053,0.2105,0.1053,0.4474,-68.5921,0.2105,0.0789,0.5263,-21.9276,0.2105,0.1579,0.6842,26.9737,0.2105,0.2368,,,,2026-W23,
emapmo,signal_family+week,121,0.4959,-1.3161,0.1405,0.0,0.5041,-0.376,0.2066,0.124,0.4711,-0.8843,0.1983,0.1653,0.4545,-0.0517,0.157,0.157,0.4298,9.5992,0.1322,0.1157,0.5124,51.8492,0.1322,0.157,,,,2026-W24,
emapmo,signal_family+week,89,0.4719,-1.4382,0.1348,0.0,0.5056,-0.9579,0.2135,0.1573,0.4831,3.2275,0.2022,0.1573,0.4719,0.9635,0.2022,0.1124,0.3483,-11.7837,0.1573,0.0449,0.5169,4.1854,0.1348,0.0899,,,,2026-W25,
emapmo,signal_family+week,99,0.5455,13.6515,0.2323,0.0,0.5859,31.3914,0.3232,0.1515,0.6162,49.7626,0.3333,0.1919,0.6162,60.5303,0.2929,0.1212,0.6465,75.4318,0.2323,0.1414,0.6465,54.5707,0.2121,0.1616,,,,2026-W26,
emapmo,signal_family+week,97,0.4639,-3.549,0.1443,0.0,0.4433,-5.6134,0.1753,0.1856,0.4021,-11.0387,0.1546,0.1237,0.3918,-10.9588,0.1134,0.1443,0.5052,2.0696,0.0825,0.2165,0.5773,20.6649,0.0619,0.268,,,,2026-W27,
emapmo,signal_family+week,7,0.8571,13.6786,0.1429,0.0,0.7143,14.1786,0.4286,0.1429,1.0,30.3214,0.5714,0.1429,1.0,106.4643,0.5714,0.2857,1.0,50.5,0.5714,0.0,1.0,67.9643,0.1429,0.0,,,,2026-W28,
icefishball,signal_family+week,2,1.0,16.625,0.0,0.0,1.0,14.0,0.5,0.0,1.0,15.25,0.5,0.0,1.0,48.875,1.0,0.0,0.0,-21.0,0.0,0.0,0.0,-18.5,0.0,0.0,,,,2026-W16,
icefishball,signal_family+week,57,0.5263,2.8684,0.1579,0.0,0.5088,-0.25,0.2281,0.1053,0.5439,2.807,0.2281,0.193,0.5439,-2.9474,0.1754,0.193,0.4912,4.0439,0.1053,0.0877,0.5614,27.3596,0.0877,0.1228,,,,2026-W17,
icefishball,signal_family+week,78,0.4487,-4.3365,0.141,0.0,0.3974,-5.0449,0.1795,0.1026,0.4487,-6.2692,0.1667,0.1538,0.4231,-6.0705,0.141,0.1667,0.359,-17.6378,0.0769,0.1026,0.4872,2.4071,0.0769,0.1795,,,,2026-W18,
icefishball,signal_family+week,59,0.4576,-1.428,0.2034,0.0,0.4576,-2.7839,0.2712,0.1186,0.4068,-12.3051,0.1695,0.1186,0.3898,-13.4873,0.1356,0.1356,0.4746,2.822,0.1186,0.2542,0.4407,5.8432,0.0678,0.2203,,,,2026-W19,
icefishball,signal_family+week,60,0.4667,-1.05,0.1667,0.0,0.5167,2.8792,0.15,0.15,0.5167,-0.45,0.1833,0.1667,0.5167,-1.7542,0.1333,0.15,0.5667,12.2792,0.1167,0.15,0.55,-3.375,0.1,0.1333,,,,2026-W20,
icefishball,signal_family+week,62,0.629,12.2056,0.2903,0.0,0.5968,12.6371,0.2903,0.0806,0.6935,22.6371,0.3065,0.1613,0.5484,16.2863,0.2419,0.1774,0.5968,43.0806,0.2258,0.1129,0.6129,66.5565,0.1613,0.1613,,,,2026-W21,
icefishball,signal_family+week,77,0.4675,-1.5714,0.1818,0.0,0.5195,-2.0032,0.2208,0.1429,0.6494,0.487,0.2208,0.2468,0.5195,-0.9643,0.1948,0.1818,0.4026,-20.3312,0.1169,0.0909,0.3766,-29.0779,0.0909,0.1039,,,,2026-W22,
icefishball,signal_family+week,88,0.4773,-0.5483,0.2045,0.0,0.4091,-6.8608,0.2045,0.125,0.4432,-16.5966,0.2045,0.1364,0.3182,-25.696,0.1477,0.0795,0.375,-52.625,0.0795,0.0795,0.3068,-55.767,0.0341,0.0909,,,,2026-W23,
icefishball,signal_family+week,69,0.5507,3.5435,0.2174,0.0,0.4348,-10.1522,0.2174,0.0725,0.4638,-9.1341,0.2319,0.1159,0.4783,-18.029,0.1884,0.2319,0.3768,-66.9094,0.1014,0.1159,0.4058,-22.8261,0.0435,0.1159,,,,2026-W24,
