param_id,mom_lookback_bars,mom_threshold,rev_span,rev_threshold,risk_mode,sl_atr,tp_atr,sl_fixed,tp_fixed,max_hold_bars,confirm_turn,mean_exit,session_set,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
M200R5_4058,40,0.7,12,1.1,atr_blend,1.0,0.75,0.08071408952985491,0.08071408952985491,12,False,False,ALL,3,86,-764.8,777.4,0.6218,0.5581,-8.893,1257.6,-2022.4,55,-443.0,558.2,0.633,0.5636,-8.055,764.2,-1207.2,31,-321.8,501.4,0.6053,0.5484,-10.381,493.4,-815.2,False
M200R5_4085,40,0.7,12,1.1,atr_blend,1.25,1.0,0.08071408952985491,0.08071408952985491,6,False,False,RTH,1,9,-40.2,205.6,0.9022,0.5556,-4.467,371.0,-411.2,4,-81.2,205.6,0.6051,0.5,-20.3,124.4,-205.6,5,41.0,123.8,1.1994,0.6,8.2,246.6,-205.6,False
M200R5_4091,40,0.7,12,1.1,atr_blend,1.25,1.0,0.08071408952985491,0.08071408952985491,6,False,True,RTH,1,9,-40.2,205.6,0.9022,0.5556,-4.467,371.0,-411.2,4,-81.2,205.6,0.6051,0.5,-20.3,124.4,-205.6,5,41.0,123.8,1.1994,0.6,8.2,246.6,-205.6,False
M200R5_1396,40,0.4,12,1.1,max_fixed_atr,1.25,1.0,0.08071408952985491,0.08071408952985491,6,False,False,PRE_RTH,3,31,-303.8,596.0,0.7672,0.5161,-9.8,1001.2,-1305.0,17,-328.6,596.0,0.6051,0.4706,-19.329,503.6,-832.2,14,24.8,198.4,1.0525,0.5714,1.771,497.6,-472.8,False
M200R5_1402,40,0.4,12,1.1,max_fixed_atr,1.25,1.0,0.08071408952985491,0.08071408952985491,6,False,True,PRE_RTH,3,31,-303.8,596.0,0.7672,0.5161,-9.8,1001.2,-1305.0,17,-328.6,596.0,0.6051,0.4706,-19.329,503.6,-832.2,14,24.8,198.4,1.0525,0.5714,1.771,497.6,-472.8,False
M200R5_3463,40,0.7,12,0.8,fixed_atr_blend,1.0,0.75,0.08071408952985491,0.08071408952985491,6,False,True,ALL,1,45,-111.0,242.6,0.8759,0.5778,-2.467,783.2,-894.2,31,32.2,146.6,1.0606,0.6129,1.039,563.8,-531.6,14,-143.2,242.6,0.6051,0.5,-10.228,219.4,-362.6,False
M200R5_0030,40,0.4,12,0.8,atr,1.0,0.75,0.08071408952985491,0.08071408952985491,12,False,False,RTH,3,46,-672.8,856.8,0.6604,0.4783,-14.626,1308.4,-1981.2,29,-512.2,724.6,0.605,0.4483,-17.662,784.6,-1296.8,17,-160.6,300.4,0.7653,0.5294,-9.447,523.8,-684.4,False
M200R5_0036,40,0.4,12,0.8,atr,1.0,0.75,0.08071408952985491,0.08071408952985491,12,False,True,RTH,3,46,-672.8,856.8,0.6604,0.4783,-14.626,1308.4,-1981.2,29,-512.2,724.6,0.605,0.4483,-17.662,784.6,-1296.8,17,-160.6,300.4,0.7653,0.5294,-9.447,523.8,-684.4,False
M200R5_4249,40,0.7,12,1.1,fixed_atr_blend,1.0,0.75,0.08071408952985491,0.08071408952985491,12,False,False,ALL,1,43,-379.4,379.4,0.6524,0.4884,-8.823,712.2,-1091.6,29,-224.2,305.0,0.6793,0.4828,-7.731,474.8,-699.0,14,-155.2,258.4,0.6047,0.5,-11.086,237.4,-392.6,False
M200R5_4592,40,0.7,12,1.1,max_fixed_atr,1.5,1.5,0.08071408952985491,0.08071408952985491,12,False,True,ALL,3,78,-986.4,995.2,0.6203,0.4744,-12.646,1611.4,-2597.8,49,-570.19,727.39,0.6309,0.4694,-11.637,974.6,-1544.8,29,-416.2,586.6,0.6047,0.4828,-14.352,636.8,-1053.0,False
M200R5_0542,40,0.4,12,0.8,fixed_atr_blend,1.5,1.5,0.08071408952985491,0.08071408952985491,6,True,False,ALL,3,85,-976.99,1040.39,0.6308,0.4235,-11.494,1669.2,-2646.19,52,-533.59,581.79,0.6504,0.4423,-10.261,992.6,-1526.19,33,-443.39,506.8,0.6041,0.3939,-13.436,676.6,-1119.99,False
M200R5_1565,40,0.4,20,0.8,atr,1.0,0.75,0.08071408952985491,0.08071408952985491,12,False,False,RTH,1,21,-337.8,417.6,0.6143,0.4762,-16.086,538.0,-875.8,15,-243.0,417.6,0.6182,0.4667,-16.2,393.4,-636.4,6,-94.8,165.2,0.604,0.5,-15.8,144.6,-239.4,False
M200R5_1571,40,0.4,20,0.8,atr,1.0,0.75,0.08071408952985491,0.08071408952985491,12,False,True,RTH,1,21,-337.8,417.6,0.6143,0.4762,-16.086,538.0,-875.8,15,-243.0,417.6,0.6182,0.4667,-16.2,393.4,-636.4,6,-94.8,165.2,0.604,0.5,-15.8,144.6,-239.4,False
M200R5_0366,40,0.4,12,0.8,atr_blend,1.5,1.5,0.08071408952985491,0.08071408952985491,12,False,False,RTH,3,38,-1062.4,1368.0,0.6383,0.3947,-27.958,1875.0,-2937.4,25,-767.0,1272.2,0.6036,0.4,-30.68,1168.0,-1935.0,13,-295.4,410.6,0.7053,0.3846,-22.723,707.0,-1002.4,False
M200R5_1564,40,0.4,20,0.8,atr,1.0,0.75,0.08071408952985491,0.08071408952985491,12,False,False,PRE_RTH,3,46,-420.8,686.2,0.7187,0.5435,-9.148,1075.0,-1495.8,32,-475.6,686.2,0.6032,0.4688,-14.862,723.0,-1198.6,14,54.8,157.6,1.1844,0.7143,3.914,352.0,-297.2,False
M200R5_1570,40,0.4,20,0.8,atr,1.0,0.75,0.08071408952985491,0.08071408952985491,12,False,True,PRE_RTH,3,46,-420.8,686.2,0.7187,0.5435,-9.148,1075.0,-1495.8,32,-475.6,686.2,0.6032,0.4688,-14.862,723.0,-1198.6,14,54.8,157.6,1.1844,0.7143,3.914,352.0,-297.2,False
M200R5_1760,40,0.4,20,0.8,atr_blend,1.0,0.75,0.08071408952985491,0.08071408952985491,12,False,True,ALL,3,128,-960.41,1006.81,0.6626,0.5391,-7.503,1885.79,-2846.2,89,-602.21,832.61,0.6902,0.5393,-6.766,1341.59,-1943.8,39,-358.2,465.8,0.6031,0.5385,-9.185,544.2,-902.4,False
M200R5_5504,40,0.7,20,1.1,atr,1.5,1.25,0.08071408952985491,0.08071408952985491,12,False,True,ALL,3,56,-560.8,560.8,0.6623,0.5,-10.014,1099.6,-1660.4,37,-326.6,502.4,0.6949,0.5135,-8.827,743.8,-1070.4,19,-234.2,284.0,0.603,0.4737,-12.326,355.8,-590.0,False
M200R5_3778,40,0.7,12,0.8,max_fixed_atr,1.5,1.25,0.08071408952985491,0.08071408952985491,12,False,True,PRE_RTH,3,27,-30.6,607.4,0.9764,0.5926,-1.133,1265.2,-1295.8,18,-428.4,607.4,0.6027,0.5,-23.8,649.8,-1078.2,9,397.8,135.8,2.8281,0.7778,44.2,615.4,-217.6,False
M200R5_4514,40,0.7,12,1.1,max_fixed_atr,1.5,1.25,0.08071408952985491,0.08071408952985491,6,False,False,ALL,3,80,-874.0,900.8,0.6334,0.5,-10.925,1510.0,-2384.0,50,-466.0,554.4,0.6566,0.52,-9.32,891.19,-1357.2,30,-407.99,590.4,0.6027,0.4667,-13.6,618.8,-1026.8,False
M200R5_0308,40,0.4,12,0.8,atr_blend,1.5,1.25,0.08071408952985491,0.08071408952985491,6,True,True,ALL,3,82,-1085.59,1149.99,0.6121,0.4512,-13.239,1713.4,-2798.99,50,-676.0,676.0,0.6025,0.48,-13.52,1024.8,-1700.79,32,-409.59,474.0,0.627,0.4062,-12.8,688.6,-1098.19,False
M200R5_5594,40,0.7,20,1.1,atr_blend,1.0,0.75,0.08071408952985491,0.08071408952985491,12,False,False,ALL,3,58,-472.4,491.2,0.6558,0.5172,-8.145,900.0,-1372.4,39,-364.2,480.0,0.6024,0.4872,-9.339,551.8,-916.0,19,-108.2,140.0,0.7629,0.5789,-5.695,348.2,-456.4,False
M200R5_5600,40,0.7,20,1.1,atr_blend,1.0,0.75,0.08071408952985491,0.08071408952985491,12,False,True,ALL,3,58,-502.4,502.4,0.6339,0.5172,-8.662,870.0,-1372.4,39,-364.2,480.0,0.6024,0.4872,-9.339,551.8,-916.0,19,-138.2,140.0,0.6972,0.5789,-7.274,318.2,-456.4,False
M200R5_1744,40,0.4,20,0.8,atr_blend,1.0,0.75,0.08071408952985491,0.08071408952985491,6,True,False,PRE_RTH,3,14,-131.2,339.2,0.7555,0.5,-9.371,405.4,-536.6,9,-172.2,339.2,0.6023,0.4444,-19.133,260.8,-433.0,5,41.0,103.6,1.3958,0.6,8.201,144.6,-103.6,False
M200R5_1750,40,0.4,20,0.8,atr_blend,1.0,0.75,0.08071408952985491,0.08071408952985491,6,True,True,PRE_RTH,3,14,-131.2,339.2,0.7555,0.5,-9.371,405.4,-536.6,9,-172.2,339.2,0.6023,0.4444,-19.133,260.8,-433.0,5,41.0,103.6,1.3958,0.6,8.201,144.6,-103.6,False
